pitchOutcome,Vel,PXNorm,PZNorm,x,y,pitchType,count,outs,inn,batterHand,pitcherHand,batter,pitcher,battingTeam,pitchingTeam,pitchOutcome,Vel,PXNorm,PZNorm,pitchType,count
S,61.5,0.83503983776644,0.862676254975201,-0.83503983776644,0.862676254975201,Curveball,2-2,0,Bot 6,R,R,Maae,Caldwell,UCSB,UCSD,S,61.5,0.83503983776644,0.862676254975201,Curveball,2-2
Ball,59.8,0.601239994727803,-1.36855317949215,-0.601239994727803,-1.36855317949215,Dropball,0-0,1,Bot 6,R,R,Mogan,Caldwell,UCSB,UCSD,Ball,59.8,0.601239994727803,-1.36855317949215,Dropball,0-0
Ball,61.2,1.20762304899154,1.00810257105191,-1.20762304899154,1.00810257105191,Fastball,1-0,1,Bot 6,R,R,Mogan,Caldwell,UCSB,UCSD,Ball,61.2,1.20762304899154,1.00810257105191,Fastball,1-0
Ball,60.9,0.522055654137266,1.22644898463609,-0.522055654137266,1.22644898463609,Riseball,2-0,1,Bot 6,R,R,Mogan,Caldwell,UCSB,UCSD,Ball,60.9,0.522055654137266,1.22644898463609,Riseball,2-0
SL,62.2,0.560083168305317,0.256310786178899,-0.560083168305317,0.256310786178899,Curveball,3-0,1,Bot 6,R,R,Mogan,Caldwell,UCSB,UCSD,SL,62.2,0.560083168305317,0.256310786178899,Curveball,3-0
SL,60.9,0.653077610714578,0.333287251526354,-0.653077610714578,0.333287251526354,Curveball,3-1,1,Bot 6,R,R,Mogan,Caldwell,UCSB,UCSD,SL,60.9,0.653077610714578,0.333287251526354,Curveball,3-1
S,59.4,0.209533761770275,0.915132680131879,-0.209533761770275,0.915132680131879,Fastball,3-2,1,Bot 6,R,R,Mogan,Caldwell,UCSB,UCSD,S,59.4,0.209533761770275,0.915132680131879,Fastball,3-2
S,61.7,-0.037301476172713,0.366072706876031,0.037301476172713,0.366072706876031,Screwball,3-2,1,Bot 6,R,R,Mogan,Caldwell,UCSB,UCSD,S,61.7,-0.037301476172713,0.366072706876031,Screwball,3-2
Ball,61.7,1.58346171207202,0.805580438902751,-1.58346171207202,0.805580438902751,Curveball,3-2,1,Bot 6,R,R,Mogan,Caldwell,UCSB,UCSD,Ball,61.7,1.58346171207202,0.805580438902751,Curveball,3-2
B,61.5,0.15346235595866,1.02927189360096,-0.15346235595866,1.02927189360096,Riseball,0-0,1,Bot 6,L,R,Mendoza,Caldwell,UCSB,UCSD,B,61.5,0.15346235595866,1.02927189360096,Riseball,0-0
